file_name,total_time,average_heart_rate,average_speed,average_cadence,total_distance
runner1.csv,1679,148.23525908278737,2.606980941036331,85.19237641453246,4381.35
runner10.csv,3588,145.52201783723524,2.6168277591973244,87.92028985507247,9423.55
runner11.csv,2410,136.65684647302905,2.7237746887966807,89.36763485477178,6591.73
runner12.csv,3524,140.5910896708286,2.6683331441543703,88.26503972758229,9440.69
runner13.csv,2062,141.2681862269641,2.5655426770126093,86.54461687681862,5312.94
runner14.csv,1760,140.45852272727274,2.4699789772727274,81.92556818181818,4366.17
runner16.csv,2949,142.45235673109528,2.73428518141743,88.9969481180061,8076.73
runner17.csv,1734,138.6776239907728,2.469117070357555,83.65109573241061,4292.11
runner18.csv,2421,143.9429987608426,2.7121499380421312,89.04419661296984,6563.44
runner19.csv,3377,144.4936334024282,2.7842410423452773,89.46402132069885,9442.34
runner2.csv,4992,146.92447916666666,2.6277548076923076,88.91486378205128,13133.21
runner20.csv,2042,145.4275220372184,2.6160572967678744,88.11606268364349,5361.56
runner21.csv,2327,142.40051568543188,2.833714224323163,90.59690588740868,6604.18
runner22.csv,3537,136.17104891150692,2.6624523607577046,88.70540005654509,9433.64
runner23.csv,2159,144.85178323297822,2.472155627605373,84.29133858267717,5359.81
runner24.csv,2286,153.15266841644794,2.8768595800524936,90.57436570428696,6569.36
runner25.csv,1965,149.8554707379135,2.691184223918575,88.87888040712468,5326.44
runner26.csv,2788,153.38271162123385,2.891766857962697,91.03012912482066,8094.97
runner27.csv,2832,147.35204802259886,2.7222581214689265,89.86299435028249,7729.79
runner28.csv,3625,139.29765517241378,2.625823172413793,89.86234482758621,9560.92
runner29.csv,1918,135.10427528675703,2.437380604796663,86.4186652763295,4695.35
runner3.csv,2077,144.12566201251806,2.565129995185363,83.42368801155513,5361.22
runner30.csv,2336,143.3394691780822,2.7216789383561646,91.25856164383562,6379.2
runner31.csv,2998,149.8812541694463,2.872600066711141,89.85023348899266,8610.46
runner32.csv,3778,146.17654843832716,2.666766013763896,86.77527792482795,10082.16
runner33.csv,2082,141.77809798270894,2.5179956772334298,84.97118155619597,5271.21
runner34.csv,2111,148.4793936522975,2.5265172903837043,85.37138796778778,5336.55
runner35.csv,2318,146.3213977566868,2.7813705780845557,90.3451251078516,6478.45
runner36.csv,2064,142.11482558139534,2.5697015503875966,84.90116279069767,5359.77
runner37.csv,3060,145.9921568627451,2.8919712418300656,90.97581699346405,8857.19
runner38.csv,1784,137.75168161434976,2.4525795964125563,85.1597533632287,4381.06
runner39.csv,2077,138.0539239287434,2.5532879152623975,86.43187289359653,5340.78
runner4.csv,2350,142.2851063829787,2.8279697872340424,90.8595744680851,6652.19
runner40.csv,2167,146.51130595293031,2.7314928472542688,89.52838024919244,5917.24
runner41.csv,4083,144.1354396277247,2.654321332353662,87.75189811413176,10885.24
runner42.csv,2186,137.26486733760294,2.4819926806953343,87.54117108874657,5480.38
runner43.csv,2765,139.76455696202532,2.8133363471971067,91.99385171790234,7803.59
runner44.csv,2183,135.5478699038021,2.4762024736601003,88.05955107650023,5437.44
runner45.csv,1835,129.74713896457766,2.3989182561307905,81.26212534059945,4402.93
runner46.csv,3541,142.17932787348207,2.6614029935046597,89.16351313188365,9444.04
runner47.csv,2177,134.60312356453835,2.5051281580156175,86.49379880569592,5465.6
runner48.csv,2070,142.40096618357487,2.602748309178744,85.83381642512077,5441.54
runner49.csv,2327,155.60893854748602,3.1535066609368285,92.06446067898582,7341.36
runner5.csv,2462,140.5792038992689,2.6646198212835093,89.76645004061739,6557.18
runner50.csv,2396,136.86978297161937,2.7388326377295495,86.4966611018364,6582.53
runner51.csv,3070,144.4498371335505,2.7567166123778497,89.36644951140065,8471.78
runner52.csv,3064,146.10411227154046,2.8701422976501307,91.16220626631853,8815.15
runner53.csv,2113,147.5144344533838,2.575901088499764,88.79602460955986,5466.31
runner54.csv,2257,139.75143996455472,2.423693398316349,88.13380593708463,5498.96
runner6.csv,6283,141.59907687410472,2.6842532229826515,88.02801209613241,16895.95
runner7.csv,2004,142.21007984031937,2.658478043912176,87.71357285429141,5342.36
runner8.csv,3545,136.7176304654443,2.6533125528913963,88.58730606488011,9406.23
runner9.csv,2285,148.96936542669584,2.878386433260394,89.29102844638949,6587.04
